모델명,제조사,유종,배기량,변속형식,복합연비,등급,배출량(CO2),자동차유형
스포티지 2.0디젤 4WD 8AT 19인치,기아,경유,1998,자동8,12.9,3등급,149,다목적형
스포티지 2.0디젤 4WD 8AT 18인치 (빌트인캠),기아,경유,1998,자동8,12.7,3등급,151,다목적형
스포티지 2.0디젤 4WD 8AT 18인치,기아,경유,1998,자동8,12.8,3등급,150,다목적형
스포티지 2.0디젤 4WD 8AT 17인치,기아,경유,1998,자동8,13.1,3등급,146,다목적형
스포티지 2.0디젤 2WD 8AT 19인치 (빌트인캠),기아,경유,1998,자동8,13.9,2등급,137,다목적형
스포티지 2.0디젤 2WD 8AT 19인치,기아,경유,1998,자동8,14.1,2등급,135,다목적형
스포티지 2.0디젤 2WD 8AT 18인치 (빌트인캠),기아,경유,1998,자동8,13.9,2등급,137,다목적형
스포티지 2.0디젤 2WD 8AT 18인치,기아,경유,1998,자동8,14,2등급,136,다목적형
스포티지 2.0디젤 2WD 8AT 17인치,기아,경유,1998,자동8,14.6,2등급,130,다목적형
스포티지 1.6T-GDI 4WD 7DCT 19인치 (빌트인캠),기아,휘발유,1598,자동7,10.8,4등급,156,다목적형
스포티지 1.6T-GDI 4WD 7DCT 19인치,기아,휘발유,1598,자동7,11.1,4등급,152,다목적형
스포티지 1.6T-GDI 4WD 7DCT 18인치 (빌트인캠),기아,휘발유,1598,자동7,11.1,4등급,151,다목적형
디펜더 110 P400,랜드로버,휘발유,2996,자동8,6.9,5등급,255,다목적형
재규어 XE D200,재규어,경유,1998,자동8,13.8,2등급,138,일반형
스포티지 1.6T-GDI 4WD 7DCT 18인치,기아,휘발유,1598,자동7,11.3,4등급,149,다목적형
스포티지 1.6T-GDI 4WD 7DCT 17인치,기아,휘발유,1598,자동7,11.6,3등급,145,다목적형
스포티지 1.6T-GDI 2WD 7DCT 19인치 (빌트인캠),기아,휘발유,1598,자동7,11.8,3등급,142,다목적형
스포티지 1.6T-GDI 2WD 7DCT 19인치,기아,휘발유,1598,자동7,12,3등급,139,다목적형
스포티지 1.6T-GDI 2WD 7DCT 18인치 (빌트인캠),기아,휘발유,1598,자동7,12.1,3등급,138,다목적형
스포티지 1.6T-GDI 2WD 7DCT 18인치,기아,휘발유,1598,자동7,12.3,3등급,136,다목적형
스포티지 1.6T-GDI 2WD 7DCT 17인치,기아,휘발유,1598,자동7,12.5,3등급,133,다목적형
Mercedes-Benz C300 e 4MATIC,벤츠,전기+휘발유,1991,자동9,2.9 / 10.7,PHEV,57,일반형
스포티지 1.6T-GDI 하이브리드 6AT (빌트인캠),기아,휘발유,1598,자동6,16.3,1등급,99,다목적형
스포티지 1.6T-GDI 하이브리드 6AT,기아,휘발유,1598,자동6,16.7,1등급,96,다목적형
재규어 XF P250,재규어,휘발유,1997,자동8,10.3,4등급,160,일반형
재규어 XF P250 AWD,재규어,휘발유,1997,자동8,9.9,4등급,167,일반형
재규어 XF D200,재규어,경유,1998,자동8,13.8,2등급,138,일반형
